State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Nagpur,Nagpur,Onion,White,Local,01/09/2025,1500,2000,1875,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,01/09/2025,2000,2500,2166,23
Maharashtra,Nagpur,Nagpur,Onion,Red,Local,01/09/2025,1000,1500,1375,23
Maharashtra,Nagpur,Nagpur,Onion,White,Local,02/09/2025,1500,2000,1875,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,02/09/2025,1300,2000,1766,23
Maharashtra,Nagpur,Kamthi,Onion,Local,Local,02/09/2025,1520,2020,1770,23
Maharashtra,Nagpur,Nagpur,Onion,Red,Local,02/09/2025,1000,1500,1375,23
Maharashtra,Nagpur,Ramtek,Onion,Other,Local,02/09/2025,1500,1800,1600,23
Maharashtra,Nagpur,Nagpur,Onion,White,Local,03/09/2025,1400,2000,1850,23
Maharashtra,Nagpur,Ramtek,Onion,Other,Local,03/09/2025,1400,1600,1500,23
Maharashtra,Nagpur,Nagpur,Onion,Red,Local,03/09/2025,1000,1600,1450,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,03/09/2025,1300,2000,1766,23
Maharashtra,Nagpur,Nagpur,Onion,Red,Local,04/09/2025,1000,1600,1450,23
Maharashtra,Nagpur,Nagpur,Onion,White,Local,04/09/2025,1400,2000,1850,23
Maharashtra,Nagpur,Ramtek,Onion,Other,Local,04/09/2025,1300,1500,1400,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,04/09/2025,2000,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,05/09/2025,2000,2000,2000,23
Maharashtra,Nagpur,Kamthi,Onion,Local,Local,05/09/2025,1510,2010,1760,23
Maharashtra,Nagpur,Nagpur,Onion,White,Local,06/09/2025,1500,2000,1875,23
Maharashtra,Nagpur,Ramtek,Onion,Other,Local,06/09/2025,1300,1500,1400,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,06/09/2025,2000,2000,2000,23
Maharashtra,Nagpur,Nagpur,Onion,Red,Local,06/09/2025,1000,1600,1450,23
Maharashtra,Nagpur,Kamthi,Onion,Local,Local,07/09/2025,1520,2020,1770,23
Maharashtra,Nagpur,Nagpur,Onion,White,Local,07/09/2025,1600,2000,1900,23
Maharashtra,Nagpur,Ramtek,Onion,Other,Local,07/09/2025,1200,1500,1300,23
Maharashtra,Nagpur,Nagpur,Onion,Red,Local,07/09/2025,1000,1500,1375,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,08/09/2025,1000,2000,1628,23
Maharashtra,Nagpur,Kamthi,Onion,Local,Local,08/09/2025,1530,2030,1780,23
Maharashtra,Nagpur,Nagpur,Onion,Red,Local,08/09/2025,1000,1600,1450,23
Maharashtra,Nagpur,Nagpur,Onion,White,Local,08/09/2025,1200,2000,1800,23
Maharashtra,Nagpur,Kamthi,Onion,Local,Local,09/09/2025,1510,2010,1760,23
Maharashtra,Nagpur,Nagpur,Onion,White,Local,09/09/2025,1600,2000,1900,23
Maharashtra,Nagpur,Nagpur,Onion,Red,Local,09/09/2025,1000,1600,1450,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,09/09/2025,2000,2000,2000,23
Maharashtra,Nagpur,Ramtek,Onion,Other,Local,09/09/2025,1300,1500,1400,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,10/09/2025,1300,2000,1766,23
Maharashtra,Nagpur,Kamthi,Onion,Local,Local,10/09/2025,1510,2010,1760,23
Maharashtra,Nagpur,Nagpur,Onion,White,Local,10/09/2025,1500,2000,1875,23
Maharashtra,Nagpur,Ramtek,Onion,Other,Local,10/09/2025,1400,1600,1500,23
Maharashtra,Nagpur,Nagpur,Onion,Red,Local,10/09/2025,1000,1600,1450,23
Maharashtra,Nagpur,Nagpur,Onion,White,Local,11/09/2025,1600,2000,1900,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,11/09/2025,2000,2000,2000,23
Maharashtra,Nagpur,Nagpur,Onion,Red,Local,11/09/2025,1000,1600,1450,23
Maharashtra,Nagpur,Kamthi,Onion,Local,Local,11/09/2025,1510,2010,1760,23
Maharashtra,Nagpur,Ramtek,Onion,Other,Local,11/09/2025,1300,1500,1400,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,12/09/2025,1400,2000,1800,23
Maharashtra,Nagpur,Kamthi,Onion,Local,Local,12/09/2025,1510,2010,1760,23
Maharashtra,Nagpur,Nagpur,Onion,Red,Local,13/09/2025,1000,1600,1450,23
Maharashtra,Nagpur,Ramtek,Onion,Other,Local,13/09/2025,1300,1500,1400,23
Maharashtra,Nagpur,Nagpur,Onion,White,Local,13/09/2025,1500,2000,1875,23
Maharashtra,Nagpur,Kamthi,Onion,Local,Local,14/09/2025,1000,2000,1500,23
Maharashtra,Nagpur,Ramtek,Onion,Other,Local,14/09/2025,1000,1300,1100,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,15/09/2025,1200,2000,1840,23
Maharashtra,Nagpur,Kamthi,Onion,Local,Local,15/09/2025,1000,2000,1500,23
Maharashtra,Nagpur,Nagpur,Onion,Red,Local,15/09/2025,1000,1600,1425,23
Maharashtra,Nagpur,Nagpur,Onion,White,Local,15/09/2025,1400,2000,1825,23
