State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Pune,Pune,Black Gram (Urd Beans)(Whole),Other,FAQ,10/09/2025,8800,9800,9300,8
Maharashtra,Pune,Pune,Bengal Gram(Gram)(Whole),Other,FAQ,10/09/2025,7800,8200,8000,6
Maharashtra,Pune,Pune(Manjri),Papaya,Other,Local,10/09/2025,4000,6000,5000,72
Maharashtra,Pune,Khed(Chakan),Cucumbar(Kheera),Other,Local,10/09/2025,1000,1600,1300,159
Maharashtra,Pune,Pune(Khadiki),Cucumbar(Kheera),Other,Local,10/09/2025,1000,1400,1200,159
Maharashtra,Pune,Pune(Manjri),Cucumbar(Kheera),Other,Local,10/09/2025,1000,3000,2000,159
Maharashtra,Pune,Pune(Pimpri),Cucumbar(Kheera),Other,Local,10/09/2025,1000,2000,1500,159
Maharashtra,Pune,Pune,Peas Wet,Other,Local,10/09/2025,5000,14000,9500,174
Maharashtra,Pune,Manchar,Methi(Leaves),Other,Local,10/09/2025,1000,2670,1900,46
Maharashtra,Pune,Khed(Chakan),Carrot,Other,Local,10/09/2025,2000,3000,2500,153
Maharashtra,Pune,Pune,Grapes,Other,Local,11/09/2025,10000,15000,12500,22
Maharashtra,Pune,Pune,Orange,Other,Local,11/09/2025,3000,7000,5000,18
Maharashtra,Pune,Baramati,Black Gram (Urd Beans)(Whole),Other,Non-FAQ,11/09/2025,5000,7150,6800,8
Maharashtra,Pune,Pune,Black Gram (Urd Beans)(Whole),Other,FAQ,11/09/2025,9000,10000,9500,8
Maharashtra,Pune,Baramati,Bengal Gram(Gram)(Whole),Other,FAQ,11/09/2025,5650,5700,5675,6
Maharashtra,Pune,Pune,Wheat,Sharbati,FAQ,11/09/2025,4500,5000,4750,1
Maharashtra,Pune,Shirur,Wheat,Other,FAQ,11/09/2025,2450,2700,2700,1
Maharashtra,Pune,Baramati,Wheat,Kalyan,FAQ,11/09/2025,2425,2751,2700,1
Maharashtra,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,11/09/2025,2600,3001,2800,1
Maharashtra,Pune,Khed(Chakan),Guar,Other,Local,11/09/2025,7000,9000,8000,75
Maharashtra,Pune,Pune(Moshi),Pineapple,Other,Local,12/09/2025,6000,6000,6000,21
Maharashtra,Pune,Pune(Moshi),Water Melon,Other,Local,12/09/2025,2000,2000,2000,73
Maharashtra,Pune,Junnar(Otur),Guar,Other,Local,12/09/2025,3000,11100,7050,75
Maharashtra,Pune,Manchar,Guar,Other,Local,12/09/2025,7000,13000,10000,75
Maharashtra,Pune,Khed,Cucumbar(Kheera),Other,Local,12/09/2025,1000,2200,1600,159
